,plot_key,date.x,light_dark,time_in,time_out,ch4_umol_m2_s,co2_umol_m2_s,ch4_mgCH4_m2_d,co2_gC_m2_d,avg_par,surface_temp,air_temp,x5cm_soil_temp,x12cm_soil_temp,soil_moisture_avg,vegetation_avg,functional_group,prevelant_vegetation,chamber_mean_temp,slope_aspect,soil_depth_1,soil_depth_2,soil_depth_3,soil_depth_avg,vegetation_height_1,vegetation_height_2,vegetation_height_3,vegetation_height_4,vegetation_height_5,date.y,veg_height_mean,veg_height_max,veg_height_sd,soil_depth_min,soil_depth_max,total_cover_all,cover_Prostrate.Shrub,cover_Barren,cover_Graminoid,cover_Forb,cover_Erect.Shrub,prop_Prostrate.Shrub,prop_Barren,prop_Graminoid,prop_Forb,prop_Erect.Shrub,richness,H,evenness,cover_shrub,cover_graminoid,cover_forb,cover_moss,cover_lichen,shrub_to_herb,bryo_lichen_sum,gcc_mean,gcc_med,gcc_p90,exg_mean,vari_mean,bulk_density_g_cm3,volumetric_water_content_percent,total_n,no3_n,nh4_n,p,k,ca,mg,s,fe,mn,cu,zn,b,al,cd,date,p_h,ER_umol_m2_s,GPP_umol_m2_s,ER_gC_m2_d,GPP_gC_m2_d,bm_forb,bm_moss_lichen,bm_shrub,bm_dead,bm_graminoid,bm_biomass_total_g,bm_prop_forb,bm_prop_moss_lichen,bm_prop_shrub,bm_prop_dead,bm_prop_graminoid,total_N,total_C,LOI_mean,LOI_sd,inorg_C,Lat,Lon,Elevation (ft)
12,Cas_13,7/21/2025,L,20:54,21:05,-0.00082657,-0.632094837,-1.145507045,-0.655355927,585,26.3,18.7,12.7,7.9,28.96666667,24,Graminoid,Meadow,18.23,16,19,29,16,21.33333333,48,13,23,20,16.5,7/21/2025,24.1,48,13.87623868,16,29,100,15,15,70,0,0,0.15,0.15,0.7,0,0,3,0.818808456,0.745311576,15,70,0,0,0,0.214285711,0,0.346616101,0.339514979,0.402332362,0.053370332,-65.4897499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,3.44682371,4.078918547,3.573666822,4.229022749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,8.79,NA,NA,NA,NA,NA,NA
13,Cas_14,7/21/2025,D,21:24,21:31,-0.00000974,0.64495472,-0.013496402,0.668689053,307,21.2,17.2,15.9,9,21.43333333,8,Prostrate Shrub,Arctic Willow,18.23,8,24,19,15,19.33333333,27,2,4,2,3,7/21/2025,7.6,27,10.87658034,15,24,100,85,5,10,0,0,0.85,0.05,0.1,0,0,3,0.518186213,0.471673418,85,10,0,0,0,8.49999915,0,0.409039432,0.405498282,0.516431925,0.177139951,-9.060202218,0.148922502,16.32717087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,0.64495472,0.589117681,0.668689053,0.610797212,0,48.0339,7.3412,6.9951,0.0495,62.4197,0,0.769531094,0.117610306,0.112065582,0.000793019,0.68,10.02,80.09886978,1.717266782,NA,59.29072,-129.75752,5580
14,Cas_14,7/21/2025,L,21:15,21:24,0.000141277,0.055837039,0.195790199,0.057891842,307,21.2,17.2,15.9,9,21.43333333,8,Prostrate Shrub,Arctic Willow,18.23,8,24,19,15,19.33333333,27,2,4,2,3,7/21/2025,7.6,27,10.87658034,15,24,100,85,5,10,0,0,0.85,0.05,0.1,0,0,3,0.518186213,0.471673418,85,10,0,0,0,8.49999915,0,0.409039432,0.405498282,0.516431925,0.177139951,-9.060202218,0.148922502,16.32717087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,0.64495472,0.589117681,0.668689053,0.610797212,0,48.0339,7.3412,6.9951,0.0495,62.4197,0,0.769531094,0.117610306,0.112065582,0.000793019,0.68,10.02,80.09886978,1.717266782,NA,NA,NA,NA
15,Cas_15,7/21/2025,D,21:38,21:42,-0.00091078,7.769887174,-1.262210066,8.055819022,588,21.9,18.8,15.3,9.9,9,20,Erect Shrub,Tall Shrub,18.23,20,20,11,24,18.33333333,25,26,18,15,17,7/21/2025,20.2,26,4.969909456,11,24,100,0,35,10,25,30,0,0.35,0.1,0.25,0.3,4,1.305461684,0.941691549,30,10,25,0,0,0.857142833,0,0.411991896,0.408970976,0.47972973,0.268674875,-4.090570485,NA,NA,5.5,0,5.5,4.68,55,698,315,9.9,4.43,2.87,0.09,1.25,0.36,8.8,0.004,8/6/2025,6.76,7.769887174,15.43518868,8.055819022,16.00320362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,11.51,NA,NA,0.014,59.29066,-129.75753,5578
16,Cas_15,7/21/2025,L,21:34,21:38,-0.001134591,-7.665301506,-1.572379203,-7.947384601,588,21.9,18.8,15.3,9.9,9,20,Erect Shrub,Tall Shrub,18.23,20,20,11,24,18.33333333,25,26,18,15,17,7/21/2025,20.2,26,4.969909456,11,24,100,0,35,10,25,30,0,0.35,0.1,0.25,0.3,4,1.305461684,0.941691549,30,10,25,0,0,0.857142833,0,0.411991896,0.408970976,0.47972973,0.268674875,-4.090570485,NA,NA,5.5,0,5.5,4.68,55,698,315,9.9,4.43,2.87,0.09,1.25,0.36,8.8,0.004,8/6/2025,6.76,7.769887174,15.43518868,8.055819022,16.00320362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,11.51,NA,NA,0.014,NA,NA,NA
17,Cas_16,7/21/2025,D,21:49,21:52,-0.000655992,2.841189812,-0.909110692,2.945745597,465,24.3,17.8,11.8,7.2,23.23333333,6,Prostrate Shrub,Arctic Willow,18.23,9,21,29,18,22.66666667,3,3,3,9,11,7/21/2025,5.8,11,3.898717738,18,29,100,55,30,10,5,0,0.55,0.3,0.1,0.05,0,4,1.070047315,0.771875977,55,10,5,0,0,3.666666422,0,0.366239595,0.350835322,0.454839789,0.106359894,-14.88786928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.841189812,2.810766172,2.945745597,2.914202367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,9.32,NA,NA,NA,59.29062,-129.75756,5576
18,Cas_16,7/21/2025,L,21:44,21:49,-0.001269105,0.03042364,-1.758797203,0.03154323,465,24.3,17.8,11.8,7.2,23.23333333,6,Prostrate Shrub,Arctic Willow,18.23,9,21,29,18,22.66666667,3,3,3,9,11,7/21/2025,5.8,11,3.898717738,18,29,100,55,30,10,5,0,0.55,0.3,0.1,0.05,0,4,1.070047315,0.771875977,55,10,5,0,0,3.666666422,0,0.366239595,0.350835322,0.454839789,0.106359894,-14.88786928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.841189812,2.810766172,2.945745597,2.914202367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,9.32,NA,NA,NA,NA,NA,NA
19,Cas_17,7/21/2025,D,22:01,22:05,-0.000942417,2.044907707,-1.306054345,2.120160311,419,22.7,19.4,12.7,10.4,23.33333333,3,Barren,Barren,18.23,9,17,13,18,16,2,2,1,10,2,7/21/2025,3.4,10,3.714835124,13,18,100,12,85,0,3,0,0.12,0.85,0,0.03,0,3,0.497769451,0.45308928,12,0,3,0,0,3.999998667,0,0.34887426,0.34057971,0.425120773,0.062092762,-71.00664161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.044907707,0.193303104,2.120160311,0.200416659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,7.26,NA,NA,NA,59.29059,-129.75761,5572
20,Cas_17,7/21/2025,L,21:57,22:01,-0.002159825,1.851604603,-2.993205917,1.919743652,419,22.7,19.4,12.7,10.4,23.33333333,3,Barren,Barren,18.23,9,17,13,18,16,2,2,1,10,2,7/21/2025,3.4,10,3.714835124,13,18,100,12,85,0,3,0,0.12,0.85,0,0.03,0,3,0.497769451,0.45308928,12,0,3,0,0,3.999998667,0,0.34887426,0.34057971,0.425120773,0.062092762,-71.00664161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.044907707,0.193303104,2.120160311,0.200416659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,7.26,NA,NA,NA,NA,NA,NA
21,Cas_18,7/21/2025,D,22:16,22:20,-0.000525259,2.267064236,-0.727933427,2.350492199,878,22.2,16.5,13.3,9.7,23.63333333,23,Graminoid,Meadow,18.23,4,13,35,23,23.66666667,12,18,24,42,17,7/21/2025,22.6,42,11.65332571,13,35,100,10,8,80,2,0,0.1,0.08,0.8,0.02,0,4,0.689072102,0.497060452,10,80,2,0,0,0.121951218,0,0.357156141,0.346938776,0.424489796,0.086491345,-36.82886978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.267064236,2.301546281,2.350492199,2.386243184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,5.69,NA,NA,NA,59.29053,-129.75743,5567
22,Cas_18,7/21/2025,L,22:11,22:16,-0.000610549,-0.034482046,-0.846132626,-0.035750985,878,22.2,16.5,13.3,9.7,23.63333333,23,Graminoid,Meadow,18.23,4,13,35,23,23.66666667,12,18,24,42,17,7/21/2025,22.6,42,11.65332571,13,35,100,10,8,80,2,0,0.1,0.08,0.8,0.02,0,4,0.689072102,0.497060452,10,80,2,0,0,0.121951218,0,0.357156141,0.346938776,0.424489796,0.086491345,-36.82886978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,2.267064236,2.301546281,2.350492199,2.386243184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,5.69,NA,NA,NA,NA,NA,NA
23,Cas_19,7/21/2025,D,22:27,22:30,0.001327789,-1.657721845,1.840124386,-1.718726009,727,23.9,17.1,15.7,11.6,28.43333333,2,Prostrate Shrub,Net-leaved Willow,18.23,11,27,31,29,29,3.5,3,2,1,2,7/21/2025,2.3,3.5,0.974679434,27,31,100,90,5,5,0,0,0.9,0.05,0.05,0,0,3,0.394397691,0.35899625,90,5,0,0,0,17.9999964,0,0.395795572,0.40052356,0.505050505,0.186954517,-50.04199055,NA,NA,11.9,2.7,9.2,15.09,83.8,650,193.8,18.1,1.29,1.1,0.1,1.27,0.46,7.9,0.022,8/6/2025,6.76,-1.657721845,-4.930102361,-1.718726009,-5.111530128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,7.3,NA,NA,NA,59.29058,-129.75741,5570
24,Cas_19,7/21/2025,L,22:23,22:27,-0.001617892,3.272380516,-2.242164682,3.392804119,727,23.9,17.1,15.7,11.6,28.43333333,2,Prostrate Shrub,Net-leaved Willow,18.23,11,27,31,29,29,3.5,3,2,1,2,7/21/2025,2.3,3.5,0.974679434,27,31,100,90,5,5,0,0,0.9,0.05,0.05,0,0,3,0.394397691,0.35899625,90,5,0,0,0,17.9999964,0,0.395795572,0.40052356,0.505050505,0.186954517,-50.04199055,NA,NA,11.9,2.7,9.2,15.09,83.8,650,193.8,18.1,1.29,1.1,0.1,1.27,0.46,7.9,0.022,8/6/2025,6.76,-1.657721845,-4.930102361,-1.718726009,-5.111530128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,7.3,NA,NA,NA,NA,NA,NA
25,Cas_2,7/21/2025,D,22:38,22:43,-0.00165678,4.436626793,-2.296058443,4.599894659,1533,16.8,17,12.6,9.4,32.6,1,Barren,Barren,18.23,4,27,27,27,27,0.5,1,1,1.5,0,7/21/2025,0.8,1.5,0.570087713,27,27,100,15,52,3,30,0,0.15,0.52,0.03,0.3,0,4,1.090998339,0.786988947,15,3,30,0,0,0.454545441,0,0.346127004,0.337423313,0.425675676,0.063411892,-82.67046799,NA,NA,1.7,1.1,0.6,1.1,31.3,995,361.4,11.1,1.23,0.27,0.06,0.88,0.43,8.7,0.029,8/6/2025,6.7,4.436626793,5.422774361,4.599894659,5.622332458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,3.55,NA,NA,0.007,59.29062,-129.75739,5573
26,Cas_2,7/21/2025,L,22:34,22:38,-0.001522809,-0.986147568,-2.110394615,-1.022437799,1533,16.8,17,12.6,9.4,32.6,1,Barren,Barren,18.23,4,27,27,27,27,0.5,1,1,1.5,0,7/21/2025,0.8,1.5,0.570087713,27,27,100,15,52,3,30,0,0.15,0.52,0.03,0.3,0,4,1.090998339,0.786988947,15,3,30,0,0,0.454545441,0,0.346127004,0.337423313,0.425675676,0.063411892,-82.67046799,NA,NA,1.7,1.1,0.6,1.1,31.3,995,361.4,11.1,1.23,0.27,0.06,0.88,0.43,8.7,0.029,8/6/2025,6.7,4.436626793,5.422774361,4.599894659,5.622332458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,3.55,NA,NA,0.007,NA,NA,NA
27,Cas_20,7/21/2025,D,22:55,23:01,0.004397506,-6.441290444,6.094309979,-6.678329933,631,19.7,16.8,13.6,11.4,27.66666667,6,Prostrate Shrub,Net-leaved Willow,21.384625,7,14,25,20,19.66666667,3.5,8,13,2,5.5,7/22/2025,6.4,13,4.321458087,14,25,100,90,5,5,0,0,0.9,0.05,0.05,0,0,3,0.394397691,0.35899625,90,5,0,0,0,17.9999964,0,0.346843092,0.339622642,0.424603175,0.076142881,-55.4968488,0.128287582,12.3869281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,-6.441290444,-10.25299078,-6.678329933,-10.63030084,0.2514,2.3886,18.4585,4.8938,3.8583,29.8506,0.008421941,0.080018492,0.61836278,0.163943103,0.129253683,0.73,10.14,80.55916286,0.627750127,NA,59.29066,-129.75738,5574
28,Cas_20,7/21/2025,L,22:46,22:55,-0.002830987,3.811700332,-3.92333976,3.951970905,631,19.7,16.8,13.6,11.4,27.66666667,6,Prostrate Shrub,Net-leaved Willow,21.384625,7,14,25,20,19.66666667,3.5,8,13,2,5.5,7/22/2025,6.4,13,4.321458087,14,25,100,90,5,5,0,0,0.9,0.05,0.05,0,0,3,0.394397691,0.35899625,90,5,0,0,0,17.9999964,0,0.346843092,0.339622642,0.424603175,0.076142881,-55.4968488,0.128287582,12.3869281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,-6.441290444,-10.25299078,-6.678329933,-10.63030084,0.2514,2.3886,18.4585,4.8938,3.8583,29.8506,0.008421941,0.080018492,0.61836278,0.163943103,0.129253683,0.73,10.14,80.55916286,0.627750127,NA,NA,NA,NA
29,Cas_21,7/22/2025,D,23:07,23:10,0.000417861,0.484826744,0.579095442,0.502668369,563,20.2,15.8,14.5,8.3,23.76666667,5,Graminoid,Meadow,21.384625,5,23,17,13,17.66666667,5,4,1,7,9,7/22/2025,5.2,9,3.033150178,13,23,100,5,20,70,5,0,0.05,0.2,0.7,0.05,0,4,0.871133271,0.628389825,5,70,5,0,0,0.066666666,0,0.3258604,0.330166271,0.380681818,0.009439777,-294.9040286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,0.484826744,-0.393305653,0.502668369,-0.407779301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,9.65,NA,NA,NA,59.2907,-129.75737,5577
30,Cas_21,7/22/2025,L,23:03,23:07,0.000547289,0.878132398,0.758463244,0.91044767,563,20.2,15.8,14.5,8.3,23.76666667,5,Graminoid,Meadow,21.384625,5,23,17,13,17.66666667,5,4,1,7,9,7/22/2025,5.2,9,3.033150178,13,23,100,5,20,70,5,0,0.05,0.2,0.7,0.05,0,4,0.871133271,0.628389825,5,70,5,0,0,0.066666666,0,0.3258604,0.330166271,0.380681818,0.009439777,-294.9040286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/2025,NA,0.484826744,-0.393305653,0.502668369,-0.407779301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,9.65,NA,NA,NA,NA,NA,NA
31,Cas_22,7/22/2025,D,23:14,23:18,0.000386554,0.378995881,0.535708365,0.392942929,605,21.6,15.1,11.7,9,15.5,2,Barren,Barren,21.384625,10,20,16,9,15,0,1,5,2,0,7/22/2025,1.6,5,2.073644135,9,20,100,0,80,15,5,0,0,0.8,0.15,0.05,0,3,0.612869452,0.557857816,0,15,5,0,0,0,0,0.312578044,0.325641026,0.349514563,-0.014155759,-242.158487,NA,NA,5.3,0.5,4.8,10.41,43.7,353,364.5,6.9,2.74,1.31,0.08,0.94,0.82,13.9,0.002,8/6/2025,6.81,0.378995881,-0.047855283,0.392942929,-0.049616358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,5.48,NA,NA,0.007,59.29074,-129.75734,5580
32,Cas_22,7/22/2025,L,NA,23:14,0.000391565,0.426851164,0.542652158,0.442559287,605,21.6,15.1,11.7,9,15.5,2,Barren,Barren,21.384625,10,20,16,9,15,0,1,5,2,0,7/22/2025,1.6,5,2.073644135,9,20,100,0,80,15,5,0,0,0.8,0.15,0.05,0,3,0.612869452,0.557857816,0,15,5,0,0,0,0,0.312578044,0.325641026,0.349514563,-0.014155759,-242.158487,NA,NA,5.3,0.5,4.8,10.41,43.7,353,364.5,6.9,2.74,1.31,0.08,0.94,0.82,13.9,0.002,8/6/2025,6.81,0.378995881,-0.047855283,0.392942929,-0.049616358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,5.48,NA,NA,0.007,NA,NA,NA
